                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77371,                0.84518,                 1.1856,                0.89418,                  0.792,                0.87099,                0.69149,                0.91805,                0.83924,                 1.5005,              0.0014855,              0.0014855,              0.0014855
                     36,                0.72907,                 0.8026,                 1.1587,                0.86968,                0.78226,                0.85841,                0.64847,                0.90084,                0.83879,                 1.4805,                0.00148,                0.00148,                0.00148
                     37,                0.76572,                0.83754,                 1.1733,                 0.8917,                0.69443,                0.84345,                0.63585,                0.87051,                 1.1253,                 1.4541,              0.0014745,              0.0014745,              0.0014745
                     38,                0.76514,                0.87375,                 1.1839,                0.84098,                0.77105,                0.82831,                0.62269,                0.88328,                0.89578,                 1.4484,               0.001469,               0.001469,               0.001469
                     39,                0.72221,                0.83529,                 1.1513,                0.90106,                0.75482,                0.82431,                0.61982,                0.88424,                0.99853,                 1.4743,              0.0014635,              0.0014635,              0.0014635
                     40,                0.71729,                0.81848,                 1.1565,                 0.8612,                0.82187,                0.85775,                0.65565,                0.92011,                 0.8518,                 1.5139,               0.001458,               0.001458,               0.001458
                     41,                0.72048,                0.77158,                 1.1653,                0.87154,                0.75648,                0.84358,                 0.6279,                 1.0347,                0.96767,                 1.6201,              0.0014525,              0.0014525,              0.0014525
                     42,                0.74664,                0.81843,                 1.1622,                0.85976,                0.77303,                0.86837,                0.66118,                0.86829,                0.82107,                  1.438,               0.001447,               0.001447,               0.001447
                     43,                0.68361,                0.78211,                 1.1308,                0.87443,                0.70001,                0.84736,                0.63729,                0.92592,                0.90983,                   1.51,              0.0014415,              0.0014415,              0.0014415
                     44,                0.73277,                0.78768,                 1.1605,                0.94864,                0.78226,                0.88186,                0.65408,                 0.9254,                0.81241,                 1.5033,               0.001436,               0.001436,               0.001436
                     45,                 0.7097,                0.79871,                 1.1634,                0.82011,                0.76047,                0.83731,                0.63896,                0.83526,                0.83838,                 1.4082,              0.0014305,              0.0014305,              0.0014305
                     46,                0.71969,                 0.8017,                 1.1453,                0.89586,                0.77112,                0.85834,                 0.6469,                0.90625,                0.94989,                 1.5024,               0.001425,               0.001425,               0.001425
                     47,                0.69231,                0.76042,                 1.1312,                0.87586,                0.79839,                0.85495,                0.67036,                 0.8762,                0.78797,                 1.4206,              0.0014195,              0.0014195,              0.0014195
                     48,                0.69717,                0.76634,                 1.1491,                0.85748,                0.76406,                 0.8488,                0.64123,                0.81915,                0.85765,                 1.3531,              0.0014139,              0.0014139,              0.0014139
                     49,                0.70938,                0.76407,                 1.1405,                0.88512,                0.74194,                0.86341,                0.66198,                0.78817,                0.87442,                 1.3221,              0.0014084,              0.0014084,              0.0014084
                     50,                0.68631,                 0.7213,                  1.144,                0.94037,                0.71221,                0.87736,                0.68565,                0.79363,                 0.8176,                 1.3653,              0.0014029,              0.0014029,              0.0014029
                     51,                0.69573,                0.72899,                 1.1338,                0.83775,                0.83763,                0.89076,                0.69534,                0.81959,                0.72045,                 1.4305,              0.0013974,              0.0013974,              0.0013974
                     52,                 0.6829,                0.74083,                 1.1296,                0.80472,                 0.7528,                0.83766,                0.65185,                0.89531,                 0.8473,                 1.4949,              0.0013919,              0.0013919,              0.0013919
                     53,                0.67144,                0.71059,                 1.1109,                0.93466,                0.76613,                0.84621,                0.64006,                0.89104,                0.83921,                 1.5326,              0.0013864,              0.0013864,              0.0013864
                     54,                0.64047,                 0.6674,                 1.1054,                 0.9631,                0.75702,                0.85477,                0.66041,                0.87251,                0.78916,                 1.4739,              0.0013809,              0.0013809,              0.0013809
                     55,                0.67903,                0.71445,                 1.1165,                0.91525,                0.75882,                0.85968,                0.65031,                0.87468,                0.82909,                 1.4991,              0.0013754,              0.0013754,              0.0013754
                     56,                0.69805,                0.73742,                 1.1484,                0.92224,                   0.75,                0.86191,                0.64314,                0.89226,                0.80882,                 1.4756,              0.0013699,              0.0013699,              0.0013699
                     57,                0.69087,                0.74395,                 1.1415,                0.90026,                0.81406,                0.88075,                0.68333,                0.84606,                0.84606,                 1.4245,              0.0013644,              0.0013644,              0.0013644
                     58,                0.68713,                 0.7261,                  1.119,                0.91661,                0.78131,                0.86776,                0.67436,                0.82467,                0.75442,                 1.4017,              0.0013589,              0.0013589,              0.0013589
                     59,                0.67004,                0.69849,                 1.1188,                0.86092,                0.80681,                0.88613,                0.71447,                0.79943,                0.72708,                 1.3919,              0.0013534,              0.0013534,              0.0013534
                     60,                 0.7069,                0.72375,                 1.1343,                0.92718,                0.77404,                0.89844,                0.73104,                0.81478,                0.65853,                 1.4074,              0.0013479,              0.0013479,              0.0013479
                     61,                0.65951,                0.69402,                 1.0961,                0.86315,                 0.7986,                0.88145,                0.71361,                0.78859,                0.89784,                 1.3886,              0.0013424,              0.0013424,              0.0013424
                     62,                0.65812,                0.70353,                  1.095,                0.92903,                0.77772,                0.87485,                0.68832,                0.86322,                0.76982,                 1.4638,              0.0013369,              0.0013369,              0.0013369
                     63,                0.63927,                0.68255,                 1.1161,                0.91801,                0.75359,                0.87127,                0.67232,                0.85115,                0.79207,                 1.4488,              0.0013314,              0.0013314,              0.0013314
                     64,                0.65472,                0.69378,                  1.116,                0.92598,                0.76978,                0.86675,                0.65565,                0.95612,                0.84538,                 1.5561,              0.0013259,              0.0013259,              0.0013259
                     65,                0.68774,                0.69554,                 1.1329,                0.93543,                0.80645,                0.86893,                0.66676,                0.89647,                0.77616,                  1.585,              0.0013204,              0.0013204,              0.0013204
                     66,                 0.6509,                0.65985,                 1.1093,                0.94697,                0.78879,                0.87866,                0.67892,                 0.8777,                0.79079,                 1.5658,              0.0013149,              0.0013149,              0.0013149
                     67,                0.63689,                0.66933,                 1.1059,                0.92662,                0.75728,                0.87124,                0.68244,                 0.8328,                0.76888,                  1.461,              0.0013094,              0.0013094,              0.0013094
                     68,                0.62106,                0.66951,                 1.0899,                0.88161,                0.76464,                 0.8633,                0.70821,                 0.7801,                0.73352,                 1.3825,              0.0013039,              0.0013039,              0.0013039
                     69,                0.61031,                0.63701,                 1.0854,                0.87744,                0.80621,                0.89287,                 0.7346,                0.76386,                0.70898,                 1.3414,              0.0012984,              0.0012984,              0.0012984
                     70,                0.62404,                0.63963,                 1.1118,                0.94276,                0.77561,                0.89993,                0.71719,                0.80861,                0.68218,                 1.3863,              0.0012929,              0.0012929,              0.0012929
                     71,                0.63417,                0.65429,                 1.1216,                0.87961,                0.77324,                 0.8781,                0.69119,                0.77278,                0.75731,                 1.3112,              0.0012874,              0.0012874,              0.0012874
                     72,                0.63261,                0.65042,                 1.1052,                0.80321,                 0.8401,                0.86627,                0.66711,                0.86825,                0.73775,                 1.4403,              0.0012819,              0.0012819,              0.0012819
                     73,                0.65536,                0.66807,                 1.1407,                0.93958,                0.73032,                 0.8824,                0.66943,                0.83427,                0.73032,                 1.4161,              0.0012764,              0.0012764,              0.0012764
                     74,                0.63442,                0.65744,                 1.1018,                0.91177,                0.74213,                0.88546,                0.67599,                0.81112,                0.73527,                 1.3559,              0.0012709,              0.0012709,              0.0012709
                     75,                0.62997,                0.65288,                  1.105,                0.95044,                0.78062,                 0.8878,                0.71049,                0.73474,                0.71179,                 1.3011,              0.0012654,              0.0012654,              0.0012654
                     76,                0.59194,                 0.6334,                 1.0664,                    0.9,                0.80645,                0.88089,                0.68881,                0.77467,                0.72167,                 1.3292,              0.0012599,              0.0012599,              0.0012599
                     77,                0.58581,                0.59821,                 1.0795,                0.92743,                0.78969,                0.88393,                 0.6702,                0.80293,                0.68572,                 1.3691,              0.0012544,              0.0012544,              0.0012544
                     78,                0.62063,                0.62579,                 1.0929,                0.91026,                0.75806,                0.86283,                0.67594,                0.79627,                0.75718,                 1.3761,              0.0012489,              0.0012489,              0.0012489
                     79,                0.61467,                0.64075,                 1.1064,                0.87721,                0.83295,                0.89109,                0.72267,                0.75915,                0.69423,                 1.3556,              0.0012434,              0.0012434,              0.0012434
                     80,                0.61588,                0.62382,                 1.0848,                0.96385,                0.76613,                0.86879,                0.66816,                0.92427,                0.80419,                 1.5092,              0.0012379,              0.0012379,              0.0012379
